Converting ICESat/GLAS binary freeboard vector data to ASCII
Wed Feb 12 08:00:19 2014

write_fb:
  file_in:       laser2a0003002.dat
  laser_period:  2a
  track:         0003
  cycle:         002
  file_out:      laser2a0003002.txt
  non_zero_only:        0
  nan_replace:       -999

read_fb:
  Year:                  2003
  Month:                   10
  Day:                     21
  Hour:                    23
  Minute:                   4
  Doy:                    294
  record_count:          2793
  non_zero_count:        2780
  nan_count:                0

    Latitude   Longitude   Freeboard   Thickness
   85.993134  222.384873    0.641790    4.244751
   85.993316  222.362778    0.655340    4.372328
   85.993498  222.340692    0.661402    4.429468
   85.993679  222.318615    0.637855    4.208067
   85.993860  222.296546    0.795570    5.691855
   85.994040  222.274482    0.670211    4.512666
   85.994220  222.252425    0.643417    4.260716
   85.994399  222.230370    0.696598    4.761127
   85.994577  222.208319    0.547773    3.361189
   85.994754  222.186272    0.571942    3.588665
   85.994930  222.164221    0.463105    2.564909
   85.995106  222.142165    0.746266    5.228807
   85.995282  222.120095    0.733469    5.108534
   85.995457  222.098002    0.570623    3.576700
   85.995632  222.075899    0.272865    0.775701
   85.995808  222.053785    0.374288    1.729934
   85.995984  222.031662    0.726709    5.045388
   85.996161  222.009526    0.603121    3.882867
   85.996339  221.987388    0.456530    2.503943
   85.996516  221.965251    0.468628    2.617868
   85.996693  221.943121    0.545012    3.336550
   85.996867  221.921016    0.448160    2.425540
   85.997041  221.898911    0.649335    4.318170
   85.997214  221.876802    0.661702    4.434625
   85.997386  221.854677    0.504650    2.957290
   85.997558  221.832518    0.488012    2.800883
   85.997730  221.810351    0.487373    2.794983
   85.997901  221.788175    0.651727    4.341227
   85.998072  221.765998    0.723075    5.012534
   85.998241  221.743821    0.792694    5.667575
   85.998410  221.721646    0.610669    3.955319
   85.998577  221.699481    0.611564    3.963852
   85.998743  221.677332    0.608540    3.935515
   85.998906  221.655219    0.638091    4.213619
   85.999068  221.633110    0.591385    3.774346
   85.999228  221.611001    0.426809    2.226239
   85.999388  221.588873    0.370030    1.692202
   85.999548  221.566704    0.722359    5.006789
   85.999707  221.544524    0.611856    3.967364
   85.999866  221.522341    0.758669    5.348596
   86.000023  221.500159    0.548786    3.374259
   86.000177  221.477991    0.671118    4.525187
   86.000331  221.455829    0.534726    3.242214
   86.000485  221.433677    0.592372    3.784620
   86.000638  221.411537    0.649543    4.322554
   86.000792  221.389418    0.152755    0.333836
   86.000947  221.367307    0.545818    3.347002
   86.001101  221.345196    0.564212    3.520143
   86.001255  221.323083    0.607744    3.929779
   86.001409  221.300956    0.552273    3.408052
   86.001563  221.278823    0.560792    3.488301
   86.001717  221.256687    0.598497    3.843114
   86.001871  221.234546    0.542785    3.319118
   86.002025  221.212408    0.597842    3.837174
   86.002179  221.190261    0.699463    4.793261
   86.002332  221.168102    0.615398    4.002542
   86.002485  221.145923    0.500087    2.917884
   86.002638  221.123709    0.551576    3.402367
   86.002791  221.101485    0.565429    3.532802
   86.002943  221.079256    0.493528    2.856512
   86.003094  221.057030    0.569479    3.571114
   86.003244  221.034825    0.591857    3.781745
   86.003394  221.012622    0.779328    5.545458
   86.003544  220.990420    0.580298    3.673223
   86.003693  220.968217    0.592437    3.787535
   86.003844  220.946014    0.638953    4.225235
   86.003994  220.923803    0.510102    3.013201
   86.004144  220.901582    0.294475    0.984834
   86.004292  220.879342    0.298727    1.024940
   86.004440  220.857061    0.465272    2.591792
   86.004586  220.834776    0.501413    2.931901
   86.004731  220.812497    0.460532    2.547427
   86.004874  220.790241    0.599895    3.858569
   86.005016  220.768039    0.601794    3.876544
   86.005156  220.745853    0.493821    2.860917
   86.005295  220.723679    0.596936    3.831059
   86.005432  220.701512    0.556051    3.446552
   86.005567  220.679345    0.485310    2.781175
   86.005700  220.657177    0.494653    2.869177
   86.005833  220.635002    0.457995    2.524438
   86.005964  220.612809    0.358502    1.588579
   86.006093  220.590583    0.438412    2.340428
   86.006222  220.568349    0.501651    2.935449
   86.006351  220.546115    0.504082    2.958432
   86.006481  220.523892    0.310063    1.133335
   86.006613  220.501700    0.369248    1.690221
   86.006745  220.479515    0.064667    0.141325
   86.006878  220.457331    0.345644    1.468392
   86.007011  220.435142    0.276612    0.819090
   86.007142  220.412939    0.408500    2.059913
   86.007274  220.390729    0.347966    1.490565
   86.007405  220.368513    0.303669    1.073956
   86.007535  220.346289    0.372264    1.719357
   86.007664  220.324060    0.343047    1.444615
   86.007793  220.301823    0.035485    0.077550
   86.007921  220.279577    0.339184    1.408495
   86.008048  220.257323    0.336732    1.385538
   86.008177  220.235054    0.499078    2.912892
   86.008304  220.212780    0.175930    0.384484
   86.008432  220.190502    0.069267    0.151379
   86.008559  220.168222    0.125488    0.274244
   86.008686  220.145947    0.256792    0.634068
   86.008939  220.101401    0.292625    0.971374
   86.009064  220.079137    0.185417    0.405216
   86.009311  220.034640    0.082924    0.181224
   86.013003  219.299661    0.039745    0.086860
   86.013211  219.255033    1.040437    8.010472
   86.013314  219.232726    0.249782    0.572627
   86.013415  219.210422    0.180337    0.394114
   86.013515  219.188119    0.240229    0.525004
   86.013611  219.165813    0.500201    2.928733
   86.013798  219.121200    0.218334    0.477154
   86.014158  219.031974    0.099394    0.217219
   86.014247  219.009656    0.433382    2.300912
   86.014337  218.987320    0.161083    0.352036
   86.014427  218.964986    0.304327    1.087065
   86.014516  218.942660    0.116767    0.255186
   86.014606  218.920357    0.199572    0.436150
   86.015137  218.786815    0.190009    0.415252
   86.015754  218.630387    0.255006    0.624735
   86.015845  218.608057    0.192205    0.420051
   86.015935  218.585726    0.442952    2.393029
   86.016024  218.563386    0.230475    0.503686
   86.016199  218.518660    0.000000    0.000000
   86.016600  218.406725    0.336925    1.396472
   86.016675  218.384342    0.281289    0.873196
   86.016749  218.361974    0.294818    1.000584
   86.016821  218.339612    0.281234    0.872902
   86.016894  218.317258    0.390786    1.903604
   86.016965  218.294910    0.424366    2.219610
   86.017037  218.272566    0.394714    1.940768
   86.017108  218.250229    0.437086    2.339483
   86.017178  218.227897    0.661072    4.446711
   86.017247  218.205572    0.198675    0.434190
   86.017315  218.183254    0.344242    1.466396
   86.017381  218.160941    0.275628    0.821034
   86.017448  218.138631    0.222970    0.487285
